scheduler,dag_type,cluster,n_tasks,n_edges,ccr,edge_density,seed,makespan,speedup,efficiency,imbalance,slr,runtime_ms,seq_time,cp_length
Random,random,homogeneous,10,11,0.1,0.2,3,59.60875488502158,1.7204241653689636,0.4301060413422409,0.3386778908194642,1.3496845637370416,0.05433399996945809,102.55234237174639,44.16495267603514
HEFT,random,cpu_gpu,10,11,0.1,0.2,3,13.70634780062037,7.4821056537836235,1.8705264134459059,1.0194241894665197,0.31034444667383804,0.2416079999534304,102.55234237174639,44.16495267603514
CPOP,random,cpu_gpu,10,11,0.1,0.2,3,15.160987353208618,6.764225837180886,1.6910564592952215,0.24422054128946494,0.3432809600050879,0.44932100001915387,102.55234237174639,44.16495267603514
HEFT-LC,random,cpu_gpu,10,11,0.1,0.2,3,14.795085527848364,6.931513993529477,1.7328784983823693,1.0084529102398727,0.3349960688597431,0.26932999998052765,102.55234237174639,44.16495267603514
Random,random,cpu_gpu,10,11,0.1,0.2,3,48.1961183433827,2.127813315609612,0.531953328902403,0.6650002991376167,1.0912752176350673,0.059254000007058494,102.55234237174639,44.16495267603514
HEFT,random,edge_cloud,10,11,0.1,0.2,3,28.882514691546856,3.550672213516115,0.8876680533790288,1.0084529102398727,0.6539691076634875,0.24509200000011333,102.55234237174639,44.16495267603514
CPOP,random,edge_cloud,10,11,0.1,0.2,3,37.00893078238141,2.7710160818957728,0.6927540204739432,0.6429386851175712,0.8379705748550085,0.3898200000094221,102.55234237174639,44.16495267603514
HEFT-LC,random,edge_cloud,10,11,0.1,0.2,3,28.882514691546856,3.550672213516115,0.8876680533790288,1.0084529102398727,0.6539691076634875,0.30594000003247857,102.55234237174639,44.16495267603514
Random,random,edge_cloud,10,11,0.1,0.2,3,190.1428566681518,0.5393436501836438,0.13483591254591096,0.8624208884118697,4.305288359820374,0.05416799996282862,102.55234237174639,44.16495267603514
HEFT,random,highly_hetero,10,11,0.1,0.2,3,17.767378718350997,5.771945541174593,1.4429863852936482,0.584240698737068,0.40229588489952034,0.31648700002051555,102.55234237174639,44.16495267603514
CPOP,random,highly_hetero,10,11,0.1,0.2,3,17.767517950204613,5.771900310395655,1.4429750775989139,0.5790891760641304,0.4022990374411893,0.3838609999888831,102.55234237174639,44.16495267603514
HEFT-LC,random,highly_hetero,10,11,0.1,0.2,3,17.767517950204613,5.771900310395655,1.4429750775989139,0.5807690888047329,0.4022990374411893,0.2612970000086534,102.55234237174639,44.16495267603514
Random,random,highly_hetero,10,11,0.1,0.2,3,87.35092539736743,1.1740269711537263,0.2935067427884316,0.8946310086386076,1.9778335558993123,0.0970250000023043,102.55234237174639,44.16495267603514
